"","Organism_uniprot","n_prot","species_name","kingdom","phylum","class","order","family","genus"
"307","Emmonsia crescens UAMH 3008",9140,"Emmonsia crescens UAMH 3008","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Emmonsia"
"308","Endocarpon pusillum (strain Z07020 / HMAS-L-300199) (Lichen-forming fungus)",8781,"Endocarpon pusillum ","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Endocarpon"
"309","Endogone sp. FLAS-F59071",9100,"Endogone sp. FLAS-F59071","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone"
"310","Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)",11729,"Epicoccum nigrum ","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum"
"311","Erysiphe neolycopersici",6613,"Erysiphe neolycopersici","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe"
"312","Erysiphe pulchra",6609,"Erysiphe pulchra","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe"
"313","Escovopsis weberi",6682,"Escovopsis weberi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Escovopsis"
"314","Eutypa lata (strain UCR-EL1) (Grapevine dieback disease fungus) (Eutypa armeniacae)",11462,"Eutypa lata ","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa"
"315","Exidia glandulosa HHB12029",25941,"Exidia glandulosa HHB12029","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia"
"316","Exophiala aquamarina CBS 119918",12788,"Exophiala aquamarina CBS 119918","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"317","Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)",9065,"Exophiala dermatitidis ","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"318","Exophiala mesophila (Black yeast)",19341,"Exophiala mesophila ","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"319","Exophiala oligosperma",12466,"Exophiala oligosperma","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"320","Exophiala sideris",10516,"Exophiala sideris","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"321","Exophiala spinifera",11746,"Exophiala spinifera","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"322","Exophiala xenobiotica",12412,"Exophiala xenobiotica","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
"323","Exserohilum turcicum (strain 28A) (Northern leaf blight fungus) (Setosphaeria turcica)",11338,"Exserohilum turcicum ","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum"
"324","Fibroporia radiculosa",8901,"Fibroporia radiculosa","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fibroporiaceae","Fibroporia"
"325","Fibularhizoctonia sp. CBS 109695",31395,"Fibularhizoctonia sp. CBS 109695","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Fibularhizoctonia"
"326","Fistulina hepatica ATCC 64428",9127,"Fistulina hepatica ATCC 64428","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Fistulinaceae","Fistulina"
"327","Fomitopsis schrenkii (Brown rot fungus)",13488,"Fomitopsis schrenkii ","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Fomitopsis"
"328","Fonsecaea erecta",11734,"Fonsecaea erecta","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"329","Fonsecaea monophora",11627,"Fonsecaea monophora","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"330","Fonsecaea multimorphosa",11424,"Fonsecaea multimorphosa","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"331","Fonsecaea multimorphosa CBS 102226",12027,"Fonsecaea multimorphosa CBS 102226","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"332","Fonsecaea nubica",11315,"Fonsecaea nubica","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"333","Fonsecaea pedrosoi CBS 271.37",12509,"Fonsecaea pedrosoi CBS 271.37","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
"334","Friedmanniomyces endolithicus",17242,"Friedmanniomyces endolithicus","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Friedmanniomyces"
"335","Friedmanniomyces simplex",13239,"Friedmanniomyces simplex","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Friedmanniomyces"
"336","Fungal sp. (strain No.11243)",9452,"Fungal sp. ","Fungi",NA,NA,NA,NA,NA
"337","Furculomyces boomerangus",6282,"Furculomyces boomerangus","Fungi","Zoopagomycota","Harpellomycetes","Harpellales","Harpellaceae","Furculomyces"
"338","Fusarium ambrosium",16835,"Fusarium ambrosium","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"339","Fusarium coffeatum",11335,"Fusarium coffeatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"340","Fusarium culmorum",18638,"Fusarium culmorum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"341","Fusarium duplospermum",15820,"Fusarium duplospermum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"342","Fusarium euwallaceae",17188,"Fusarium euwallaceae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"343","Fusarium flagelliforme",12557,"Fusarium flagelliforme","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"344","Fusarium floridanum",16318,"Fusarium floridanum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"345","Fusarium kuroshium",16069,"Fusarium kuroshium","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"346","Fusarium langsethiae",11490,"Fusarium langsethiae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"347","Fusarium longipes",11012,"Fusarium longipes","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"348","Fusarium mangiferae (Mango malformation disease fungus)",15381,"Fusarium mangiferae ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"349","Fusarium odoratissimum NRRL 54006",19221,"Fusarium odoratissimum NRRL 54006","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"350","Fusarium oligoseptatum",17367,"Fusarium oligoseptatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"351","Fusarium oxysporum (Fusarium vascular wilt)",63162,"Fusarium oxysporum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"352","Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)",30262,"Fusarium oxysporum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"353","Fusarium oxysporum f. sp. cepae",18355,"Fusarium oxysporum f. sp. cepae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"354","Fusarium oxysporum f. sp. conglutinans race 2 54008",22679,"Fusarium oxysporum f. sp. conglutinans race 2 54008","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"355","Fusarium oxysporum f. sp. cubense",30537,"Fusarium oxysporum f. sp. cubense","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"356","Fusarium oxysporum f. sp. cubense (strain race 1) (Panama disease fungus)",14981,"Fusarium oxysporum f. sp. cubense ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"357","Fusarium oxysporum f. sp. cubense (strain race 4) (Panama disease fungus)",13793,"Fusarium oxysporum f. sp. cubense ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"358","Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)",14143,"Fusarium oxysporum f. sp. lycopersici ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"359","Fusarium oxysporum f. sp. melonis 26406",22698,"Fusarium oxysporum f. sp. melonis 26406","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"360","Fusarium oxysporum f. sp. narcissi",20106,"Fusarium oxysporum f. sp. narcissi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"361","Fusarium oxysporum f. sp. pisi HDV247",22625,"Fusarium oxysporum f. sp. pisi HDV247","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"362","Fusarium oxysporum f. sp. radicis-cucumerinum",16481,"Fusarium oxysporum f. sp. radicis-cucumerinum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"363","Fusarium oxysporum f. sp. raphani 54005",22139,"Fusarium oxysporum f. sp. raphani 54005","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"364","Fusarium oxysporum f. sp. vasinfectum 25433",21652,"Fusarium oxysporum f. sp. vasinfectum 25433","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"365","Fusarium oxysporum Fo47",26068,"Fusarium oxysporum Fo47","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"366","Fusarium oxysporum NRRL 32931",20156,"Fusarium oxysporum NRRL 32931","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"367","Fusarium poae",13657,"Fusarium poae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"368","Fusarium proliferatum (strain ET1) (Orchid endophyte fungus)",15648,"Fusarium proliferatum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"369","Fusarium pseudograminearum (strain CS3096) (Wheat and barley crown-rot fungus)",12026,"Fusarium pseudograminearum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"370","Fusarium pseudograminearum (Wheat and barley crown-rot fungus)",11045,"Fusarium pseudograminearum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"371","Fusarium sp. AF-6",14869,"Fusarium sp. AF-6","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"372","Fusarium sporotrichioides",11769,"Fusarium sporotrichioides","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"373","Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4) (Fusarium solani subsp. pisi)",15303,"Fusarium vanettenii ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"374","Fusarium venenatum",13591,"Fusarium venenatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"375","Gaeumannomyces tritici (strain R3-111a-1) (Wheat and barley take-all root rot fungus) (Gaeumannomyces graminis var. tritici)",14161,"Gaeumannomyces tritici ","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces"
"376","Galerina marginata (strain CBS 339.88)",20902,"Galerina marginata ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina"
"377","Ganoderma sinense ZZ0214-1",15006,"Ganoderma sinense ZZ0214-1","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Ganoderma"
"378","Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)",6601,"Geotrichum candidum ","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum"
"379","Gibberella fujikuroi (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)",10010,"Gibberella fujikuroi ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"380","Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)",14341,"Gibberella fujikuroi ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"381","Gibberella intermedia (Bulb rot disease fungus) (Fusarium proliferatum)",27067,"Gibberella intermedia ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"382","Gibberella moniliformis (Maize ear and stalk rot fungus) (Fusarium verticillioides)",22179,"Gibberella moniliformis ",NA,NA,NA,NA,NA,NA
"383","Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)",17349,"Gibberella moniliformis ",NA,NA,NA,NA,NA,NA
"384","Gibberella nygamai (Bean root rot disease fungus) (Fusarium nygamai)",15747,"Gibberella nygamai ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"385","Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)",15911,"Gibberella zeae ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"386","Gigaspora rosea",30703,"Gigaspora rosea","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Gigaspora"
"387","Glarea lozoyensis (strain ATCC 20868 / MF5171)",12641,"Glarea lozoyensis ","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea"
"388","Glarea lozoyensis (strain ATCC 74030 / MF5533)",7756,"Glarea lozoyensis ","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea"
"389","Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)",11461,"Gloeophyllum trabeum ","Fungi","Basidiomycota","Agaricomycetes","Gloeophyllales","Gloeophyllaceae","Gloeophyllum"
"390","Glomus cerebriforme",19805,"Glomus cerebriforme","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus"
"391","Golovinomyces cichoracearum",18834,"Golovinomyces cichoracearum","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Golovinomyces"
"392","Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera)",13347,"Gonapodya prolifera ","Fungi","Chytridiomycota","Monoblepharidomycetes","Monoblepharidales","Gonapodyaceae","Gonapodya"
"393","Grifola frondosa (Maitake) (Polyporus frondosus)",14764,"Grifola frondosa ","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Grifolaceae","Grifola"
"394","Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera)",7873,"Grosmannia clavigera ","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Leptographium"
"395","Gymnopilus dilepis",15448,"Gymnopilus dilepis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Gymnopilus"
"396","Gymnopus androsaceus JB14",28763,"Gymnopus androsaceus JB14","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus"
"397","Hamiltosporidium magnivora",8125,"Hamiltosporidium magnivora","Fungi","Microsporidia",NA,NA,"Dubosqiidae","Hamiltosporidium"
"398","Hamiltosporidium tvaerminnensis",8973,"Hamiltosporidium tvaerminnensis","Fungi","Microsporidia",NA,NA,"Dubosqiidae","Hamiltosporidium"
"399","Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137) (Acremonium chrysogenum)",8581,"Hapsidospora chrysogenum ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","Hapsidospora"
"400","Hebeloma cylindrosporum h7",14988,"Hebeloma cylindrosporum h7","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma"
"401","Helicocarpus griseus UAMH5409",9854,"Helicocarpus griseus UAMH5409","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Helicocarpus"
"402","Heliocybe sulcata",12279,"Heliocybe sulcata","Fungi","Basidiomycota","Agaricomycetes","Gloeophyllales","Gloeophyllaceae","Heliocybe"
"403","Hericium alpestre",9631,"Hericium alpestre","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium"
"404","Hermanssonia centrifuga",21075,"Hermanssonia centrifuga","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Hermanssonia"
"405","Hesseltinella vesiculosa",10793,"Hesseltinella vesiculosa","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Hesseltinella"
"406","Heterobasidion irregulare (strain TC 32-1)",12887,"Heterobasidion irregulare ","Fungi","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae","Heterobasidion"
"407","Hirsutella minnesotensis 3608",8672,"Hirsutella minnesotensis 3608","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella"
"408","Hortaea werneckii",126311,"Hortaea werneckii","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Hortaea"
"409","Hortaea werneckii EXF-2000",14841,"Hortaea werneckii EXF-2000","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Hortaea"
"410","Hyaloscypha bicolor E",18179,"Hyaloscypha bicolor E","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha"
"411","Hyaloscypha hepaticicola",16397,"Hyaloscypha hepaticicola","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha"
"412","Hyaloscypha variabilis F",19892,"Hyaloscypha variabilis F","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha"
"413","Hydnomerulius pinastri MD-312",7619,"Hydnomerulius pinastri MD-312","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Hydnomerulius"
"414","Hypholoma sublateritium (strain FD-334 SS-4)",16802,"Hypholoma sublateritium ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma"
"415","Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)",11444,"Hypocrea atroviridis ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"416","Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)",9521,"Hypocrea jecorina ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"417","Hypocrea jecorina (strain QM6a) (Trichoderma reesei)",8800,"Hypocrea jecorina ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"418","Hypocrea virens (strain Gv29-8 / FGSC 10586) (Gliocladium virens) (Trichoderma virens)",11986,"Hypocrea virens ","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"419","Hypoxylon sp. CI-4A",11366,"Hypoxylon sp. CI-4A","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon"
"420","Hypoxylon sp. CO27-5",11892,"Hypoxylon sp. CO27-5","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon"
"421","Hypoxylon sp. EC38",12171,"Hypoxylon sp. EC38","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon"
"422","Hypsizygus marmoreus (White beech mushroom) (Agaricus marmoreus)",15866,"Hypsizygus marmoreus ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Hypsizygus"
"423","Jaapia argillacea MUCL 33604",15994,"Jaapia argillacea MUCL 33604","Fungi","Basidiomycota","Agaricomycetes","Jaapiales","Jaapiaceae","Jaapia"
"424","Jaminaea rosea",6442,"Jaminaea rosea","Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales",NA,"Jaminaea"
"425","Jimgerdemannia flammicorona",25663,"Jimgerdemannia flammicorona","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Jimgerdemannia"
"426","Kockovaella imperatae",7139,"Kockovaella imperatae","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Kockovaella"
"427","Kwoniella bestiolae CBS 10118",8793,"Kwoniella bestiolae CBS 10118","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"428","Kwoniella dejecticola CBS 10117",8242,"Kwoniella dejecticola CBS 10117","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"429","Kwoniella heveanensis BCC8398",7548,"Kwoniella heveanensis BCC8398","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"430","Kwoniella heveanensis CBS 569",7496,"Kwoniella heveanensis CBS 569","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"431","Kwoniella mangroviensis CBS 10435",8093,"Kwoniella mangroviensis CBS 10435","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"432","Kwoniella pini CBS 10737",7490,"Kwoniella pini CBS 10737","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"433","Kwoniella shandongensis",7080,"Kwoniella shandongensis","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella"
"434","Laccaria amethystina LaAM-08-1",20559,"Laccaria amethystina LaAM-08-1","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
"435","Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) (Bicoloured deceiver) (Laccaria laccata var. bicolor)",17500,"Laccaria bicolor ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
"436","Lachnellula cervina",9081,"Lachnellula cervina","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Lachnellula"
"437","Lachnellula willkommii",8682,"Lachnellula willkommii","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Lachnellula"
"438","Laetiporus sulphureus 93-53",13415,"Laetiporus sulphureus 93-53","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Laetiporaceae","Laetiporus"
"439","Lasallia pustulata",16432,"Lasallia pustulata","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Lasallia"
"440","Lasiodiplodia theobromae",12771,"Lasiodiplodia theobromae","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia"
"441","Lentinula edodes (Shiitake mushroom) (Lentinus edodes)",12156,"Lentinula edodes ","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Lentinula"
"442","Lentinus tigrinus ALCF2SS1-6",15213,"Lentinus tigrinus ALCF2SS1-6","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Lentinus"
"443","Lentinus tigrinus ALCF2SS1-7",15011,"Lentinus tigrinus ALCF2SS1-7","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Lentinus"
"444","Lentithecium fluviatile CBS 122367",16318,"Lentithecium fluviatile CBS 122367","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentithecium"
"445","Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)",12196,"Leptosphaeria maculans ","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus"
"446","Leucoagaricus sp. SymC.cos",12236,"Leucoagaricus sp. SymC.cos","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus"
"447","Leucosporidium creatinivorum",9559,"Leucosporidium creatinivorum","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium"
"448","Lichtheimia corymbifera JMRC:FSU:9682",12856,"Lichtheimia corymbifera JMRC:FSU:9682","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia"
"449","Lichtheimia ramosa",11215,"Lichtheimia ramosa","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia"
"450","Linderina pennispora",9060,"Linderina pennispora","Fungi","Zoopagomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Linderina"
"451","Lineolata rhizophorae",9914,"Lineolata rhizophorae","Fungi","Ascomycota","Dothideomycetes","Lineolatales","Lineolataceae","Lineolata"
"452","Linnemannia elongata AG-77",14269,"Linnemannia elongata AG-77","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia"
"453","Lipomyces starkeyi NRRL Y-11557",7948,"Lipomyces starkeyi NRRL Y-11557","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces"
"454","Lobosporangium transversale",11138,"Lobosporangium transversale","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Lobosporangium"
"455","Lomentospora prolificans",8217,"Lomentospora prolificans","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lomentospora"
"456","Lophiostoma macrostomum CBS 122681",15772,"Lophiostoma macrostomum CBS 122681","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma"
"457","Lophiotrema nucula",17704,"Lophiotrema nucula","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema"
"458","Lophium mytilinum",14767,"Lophium mytilinum","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Lophium"
"459","Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)",13386,"Macrophomina phaseolina ","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina"
"460","Madurella mycetomatis",9594,"Madurella mycetomatis","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,"Madurella"
"461","Magnaporthe grisea (Crabgrass-specific blast fungus) (Pyricularia grisea)",12452,"Magnaporthe grisea ","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Pyriculariaceae","Pyricularia"
"462","Magnaporthe oryzae (Rice blast fungus) (Pyricularia oryzae)",13601,"Magnaporthe oryzae ","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Pyriculariaceae","Pyricularia"
